date,store,category,item,quantity,unit_price,revenue
2026-05-17,Downtown,merch,Mug,2,11.98,23.96
2026-02-09,Riverside,tea,Green Tea,3,3.07,9.21
2026-02-17,Riverside,sandwich,BLT,3,7.04,21.12
2026-06-10,Downtown,coffee,Drip Coffee,2,2.85,5.7
2026-03-21,Riverside,tea,Green Tea,7,2.86,20.02
2026-01-12,Riverside,sandwich,Veggie Wrap,2,6.78,13.56
2026-06-27,Airport,merch,Mug,6,12.26,73.56
2026-05-09,Riverside,coffee,Latte,5,4.38,21.9
2026-04-04,Uptown,merch,Gift Card,5,25.83,129.15
2026-04-30,Riverside,sandwich,Veggie Wrap,4,6.76,27.04
2026-01-03,Uptown,pastry,Scone,4,3.16,12.64
2026-05-21,Riverside,coffee,Espresso,2,2.55,5.1
2026-03-19,Airport,pastry,Muffin,4,3.14,12.56
2026-04-30,Airport,coffee,Cappuccino,3,3.92,11.76
2026-05-10,Airport,sandwich,BLT,2,7.28,14.56
2026-01-22,Riverside,merch,Mug,3,11.72,35.16
2026-03-08,Downtown,coffee,Cappuccino,2,4.03,8.06
2026-06-05,Airport,coffee,Latte,7,4.41,30.87
2026-01-03,Riverside,coffee,Espresso,7,2.57,17.99
2026-01-11,Riverside,tea,Chai Latte,4,3.82,15.28
2026-01-22,Airport,pastry,Scone,2,2.98,5.96
2026-02-04,Uptown,sandwich,Turkey Club,1,7.28,7.28
2026-03-17,Airport,pastry,Muffin,1,2.97,2.97
2026-03-08,Riverside,pastry,Croissant,3,3.26,9.78
2026-04-03,Downtown,pastry,Croissant,4,3.11,12.44
2026-05-13,Airport,pastry,Scone,4,,12.4
2026-05-17,Airport,coffee,Latte,3,4.41,13.23
2026-01-23,Downtown,merch,Bag of Beans,2,14.31,28.62
2026-06-04,Downtown,merch,Bag of Beans,2,13.84,27.68
2026-06-22,Riverside,tea,Iced Tea,2,2.75,5.5
2026-05-03,Airport,merch,Bag of Beans,2,14.56,29.12
2026-04-11,Airport,merch,Gift Card,,24.13,72.39
2026-02-24,Uptown,merch,Gift Card,3,25.96,77.88
2026-02-26,Riverside,sandwich,BLT,2,6.98,13.96
2026-01-24,Airport,merch,Gift Card,6,24.91,149.46
2026-05-11,Downtown,sandwich,Veggie Wrap,5,6.42,32.1
2026-06-26,Downtown,coffee,Cappuccino,5,3.83,19.15
2026-01-18,Airport,coffee,Drip Coffee,1,2.63,2.63
2026-03-27,Downtown,coffee,Cappuccino,4,4.02,16.08
2026-05-28,Airport,tea,Chai Latte,4,3.96,15.84
2026-04-13,Downtown,sandwich,BLT,3,6.99,20.97
2026-03-05,Uptown,merch,Gift Card,3,25.87,77.61
2026-01-30,Airport,coffee,Latte,6,4.26,25.56
2026-01-31,Uptown,tea,Green Tea,4,3.11,12.44
2026-06-14,Riverside,merch,Gift Card,4,26.15,104.6
2026-04-12,Downtown,pastry,Croissant,2,3.4,6.8
2026-05-28,Downtown,sandwich,Veggie Wrap,4,6.68,26.72
2026-05-20,Downtown,coffee,Espresso,4,2.38,9.52
2026-05-09,Riverside,merch,Bag of Beans,5,15.15,75.75
2026-05-25,Downtown,sandwich,BLT,4,7.05,28.2
2026-06-25,Airport,tea,Chai Latte,2,4.18,8.36
2026-05-14,Airport,merch,Mug,3,12.19,36.57
2026-01-05,Uptown,merch,Gift Card,3,25.09,75.27
2026-04-03,Downtown,coffee,Espresso,3,2.53,7.59
2026-05-12,Uptown,pastry,Scone,3,3.16,9.48
2026-06-20,Uptown,sandwich,BLT,2,7.26,14.52
2026-06-28,Downtown,pastry,Scone,4,3.24,12.96
2026-01-26,Riverside,pastry,Scone,2,3.09,6.18
2026-03-09,Downtown,tea,Chai Latte,1,3.94,3.94
2026-06-19,Downtown,sandwich,BLT,3,7.33,21.99
2026-05-19,Riverside,pastry,Muffin,2,3.09,6.18
2026-06-08,Downtown,pastry,Croissant,3,3.4,10.2
2026-05-29,Uptown,merch,Mug,6,11.47,68.82
2026-04-27,Uptown,pastry,Croissant,2,3.39,6.78
2026-05-29,Uptown,sandwich,Veggie Wrap,5,6.5,32.5
2026-05-18,Riverside,tea,Green Tea,5,3.07,15.35
2026-03-15,Downtown,tea,Chai Latte,4,4.12,16.48
2026-01-23,Airport,coffee,Cappuccino,2,4.2,8.4
2026-05-20,Riverside,tea,Iced Tea,5,2.63,13.15
2026-06-18,Riverside,merch,Bag of Beans,1,14.83,14.83
2026-04-24,Uptown,coffee,Drip Coffee,4,2.69,10.76
2026-05-21,Downtown,sandwich,BLT,3,6.72,20.16
2026-03-12,Riverside,pastry,Scone,5,3.06,15.3
2026-04-23,Airport,sandwich,Veggie Wrap,4,6.55,26.2
2026-04-18,Airport,merch,Gift Card,3,24.5,73.5
2026-02-03,Uptown,merch,Mug,3,12.2,36.6
2026-05-05,Downtown,pastry,Scone,5,3.2,16.0
2026-03-05,Uptown,sandwich,BLT,3,6.91,20.73
2026-03-26,Uptown,merch,Bag of Beans,1,14.48,14.48
2026-03-17,Airport,pastry,Scone,3,3.11,9.33
